,Sender,Receiver
453,dan_hanks,GreenRupertRead
454,Reniour,wolfie_smythe
455,NC6581191,daveberkeleyuk
456,jayarrbee36,GreenRupertRead
457,Dan010173,GreenRupertRead
458,Crystal39234674,howey_ou
459,Crystal39234674,ExtinctionR
460,SolidarityCan,wretchedotearth
461,BreakingNewsDot,CarolineLucas
462,XRLiverpool,EtienneStott
463,ferritte2,amdowdican
464,LindaL16,sapper1912
465,LindaL16,MarkPur62425725
466,LindaL16,UKLabour
467,fairyhead32,ThomasEvansSDP
468,businesscontin4,continuitycent
469,sgcareers27,natalierosegil
470,sgcareers27,Simmoneahiaku
471,botcotu,richardjpyne
472,botcotu,ChuHoiDick
473,richardkent,ZoeJardiniere
474,Dick_Puddlecote,Clive_Bates
475,Dick_Puddlecote,GMFCfantasy
476,Dick_Puddlecote,CapX
477,Dick_Puddlecote,theSNP
478,ooohlalaorlagh,josiahmortimer
479,ooohlalaorlagh,FinancialNews
480,strongthomas,EXECUTIVESTEVE
481,Onmeed,Onmeed
482,Onmeed,juliakielty
483,Onmeed,jake_pugh
484,Onmeed,john4brexit
485,Onmeed,Lugey6
486,Onmeed,Onmeed
487,Onmeed,juliakielty
488,Onmeed,jake_pugh
489,Onmeed,john4brexit
490,Onmeed,Lugey6
491,Onmeed,juliakielty
492,Onmeed,jake_pugh
493,Onmeed,john4brexit
494,Onmeed,Lugey6
495,Gbushuk65Bush,Gbushuk65Bush
496,Gbushuk65Bush,DPJHodges
497,Gbushuk65Bush,Conservatives
498,richiefreddy,Mondoweiss
499,richiefreddy,Jonathan_K_Cook
500,richiefreddy,GretaThunberg
501,Onmeed,juliakielty
502,Onmeed,jake_pugh
503,Onmeed,john4brexit
504,Onmeed,Lugey6
505,neil_oiwf,xr__ni
506,Anothergreen,WilliamNB
507,Anothergreen,FreePal57489482
508,Anothergreen,CorbynByXmas
509,MusingsOfDCC,josiahmortimer
510,MusingsOfDCC,FinancialNews
511,JCadeCirca1450,Gbushuk65Bush
512,JCadeCirca1450,DPJHodges
