Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter for Android,zaynecowie,02/05/2019 17:55,I 💙 Extinction Rebellion! https://t.co/B2DiQGkWo8,"New York, USA",,2476
Twitter for Android,maddison_danny,02/05/2019 17:53,Extinction rebellion leeds headrow tomorrow lets bring the city to a halt 11am-2pm,"Wakefield, England",,48
Twitter for iPhone,BobDeluxeUK,02/05/2019 17:53,Extinction Rebellion apologise for their protests....such ah upper middle class thing to do.. I don’t think Che Gue… https://t.co/60Q9PPEyga,"Hackney, London, UK",,3437
Twitter for iPhone,LDRMonGwynedd,02/05/2019 17:53,"Well, that didn’t stay up long did it? #LDReporterExtinction Rebellion stickers left at scene as controversial bir… https://t.co/307BCyJI0U","Ynys Môn, Cymru / Wales",,701
Twitter Web Client,FA7832,02/05/2019 17:50,"@MartinH71678176 I'll second that!But think about it, why was the Extinction Rebellion protest allowed to go on so… https://t.co/jOQKIslFjh","England, United Kingdom",,180
Twitter Web Client,Trismos,02/05/2019 17:50,"@JonLeSage4 @drwaheeduddin @alcpjr @lisamurkowski Funny thing about having to actually live in nature, you adapt, y… https://t.co/2v6ZUD6eqZ",,,151
Upflow,bangalorerobot,02/05/2019 17:47,Extinction Rebellion climate change campaigners to 'pause' London protest https://t.co/6nJ4YvSFpj,"Bengaluru, India",,1369
Twitter for Android,NewsMutt,02/05/2019 17:41,"Erm, no, it was on the Six and Ten, as were the recent protests by Extinction Rebellion. Also covered by me in my o… https://t.co/7NXkdaA90f",UK ,,1178
Upflow,cojiambo1,02/05/2019 17:40,Extinction Rebellion climate change campaigners to 'pause' London protest https://t.co/6mbtBbC9Db,"Nairobi, Kenya",,130
Twitter for Android,XrArgentina,02/05/2019 17:39,El movimiento de activismo científico más grande de la historia. Una nota sin desperdicio a una de las fundadoras d… https://t.co/8XIvCoyNxl,,,260
Twitter for Android,pmagn,02/05/2019 17:37,It really is a #ClimateCrisis.. we NEED an Extinction Rebellionhttps://t.co/1bbADsXuzV,Canada,,5787
TweetDeck,TV5MONDEINFO,02/05/2019 17:34,"🇬🇧 Royaume-Uni - ""l'urgence climatique et écologique"" déclarée par le Parlement après des jours d'actions du mouvem… https://t.co/se0P4OoM6j",Partout dans le Monde,,86241
Hootsuite Inc.,_MrDavidJones,02/05/2019 17:32, The Global South – a New Focus after Extinction Rebellion London Protests https://t.co/NsCZ4WafQj  |… https://t.co/xOkHkhEIaH,#DV #CSA  #Daniel_Morgan,,5377
Twitter Web Client,MikeShaugh,02/05/2019 17:32,Extinction Rebellion – A Cause for Hope for the Planet and maybe for Revolution https://t.co/lDBShVubMr #green… https://t.co/DKUujzVcBy,,,241
WordPress.com,BInvestigates,02/05/2019 17:31,The Global South - a New Focus after Extinction Rebellion London Protests | #ExtinctionRebellion #ClimateEmergency… https://t.co/k0Ol2IBjHr,"London, England",,968
WordPress.com,BylineTimes,02/05/2019 17:31,The Global South - a New Focus after Extinction Rebellion London Protests | #ExtinctionRebellion #ClimateEmergency… https://t.co/fg8ex33ISL,"London, UK",,6579
WordPress.com,Byline_Media,02/05/2019 17:31,The Global South - a New Focus after Extinction Rebellion London Protests | #ExtinctionRebellion #ClimateEmergency… https://t.co/YwhWOr8B01,London,,22905
Twitter for Android,MonitoDeTrapo,02/05/2019 17:30,El objetivo mayor de Extinction Rebellion es salvar la mayor cantidad de vida posible sobre la Tierra. https://t.co/kOxCrY8vor,,,449
Twitter for iPhone,niluthedamaja,02/05/2019 17:30,almost impressed by the mental disconnect it takes to run a piece about extinction rebellion and then individually… https://t.co/2q0PYGkMOe,London,,2148
Twitter for iPhone,thinkconscience,02/05/2019 17:24,🔥🔥Hot tips for NGOs here ! Now we know: conventional campaigning won’t prevent our extinction | Extinction Rebellio… https://t.co/AgMO0XHUYQ,"Brussels, London, Shanghai, NYC",,466
Twitter Web Client,bogbrush2011,02/05/2019 17:24,"Sad that Corbyn feels entitled to claim credit for the Climate Emergency vote, after everything that Greenpeace, At… https://t.co/N6cD0dYeBi",In the middle of it all,,11
Twitter for Android,mdvmatteo,02/05/2019 17:22,The beautiful art of non-violent civil disobedience #takeabow #ExtinctionRebellion #ClimateEmergency https://t.co/164WSLWc0Y,"Brussels, Belgium",,789
Twitter for Android,hilaryjennings,02/05/2019 17:20,@_simonlambert @a_free_ride Hmm.  I think my discomfort is that its framed in the context of  an individual's decis… https://t.co/NdqNzsJpr2,,,1536
Twitter Web App,DeborahMHopkins,02/05/2019 17:20,"Oh my, this is scary! Both the Problem and the Solution 😨Extinction Rebellion has a message for the world: We've… https://t.co/ZkxlARW4rm",,,37
Twitter Web Client,rodrigo__c,02/05/2019 17:18,Primeira vitória do movimento Extinction Rebellion (@ExtinctionR). Reportagem pro @jornalhoje: 'Parlamento britân… https://t.co/QbHKZhuKkT,"Londres, Reino Unido",,11033
Twitter Web Client,bogbrush2011,02/05/2019 17:15,"It's unfortunate that, after the excellent work by Greenpeace, Attenborough, Greta Thunberg & the climate kids, Ext… https://t.co/uHfGE9S8sR",In the middle of it all,,11
dlvr.it,pairsonnalitesN,02/05/2019 17:13,Fighting Stigma : Extinction Rebellion bring concerns to the Taoiseach https://t.co/wXZJhZC6Wh,Ireland | Scotland | Inuit | Россия | Skandinavien,,1507
Echobox Social,LaCroix,02/05/2019 17:10,Le Royaume-Uni vote « l’urgence écologique et climatique » 🇬🇧Le Parlement britannique a déclaré mercredi 1er mai… https://t.co/L6qg84pVtg,,,53660
Twitter Web Client,JeffersonianAll,02/05/2019 17:07,congratulations to @ExtinctionR ! What a series of breakthroughs - Hope to Found San Mateo CA chapter! https://t.co/IWTFrYXf0o,san francisco bay area,,1141
Twitter Web Client,JeffersonianAll,02/05/2019 17:07,congratulations to @ExtinctionR ! What a series of breakthroughs - Hope to Found San Mateo CA chapter! https://t.co/IWTFrYXf0o,san francisco bay area,,1141
SocialPilot.co,GritDaily,02/05/2019 17:05,"Is the ""Extinction Rebellion"" environmental protest the start of a trend? #protest #climatechange #enviroment https://t.co/foVjzapsoy","New York, NY",,875
Twitter Web Client,Susuana_Xx,02/05/2019 17:04,@K_psych_C And another one - https://t.co/S0YYXFaHj2,"Brighton, England",,4476
Twitter Web Client,Susuana_Xx,02/05/2019 17:04,@K_psych_C And another one - https://t.co/S0YYXFaHj2,"Brighton, England",,4476
